Created at,Total,Subtotal,item_count,total_7d_avg,items_7d_avg,total_7d_std,items_30d_avg,total_30d_avg,total_30d_std,total_90d_avg,items_90d_avg,total_90d_std,total_prev_day,total_prev_week,total_prev_month,total_prev_season,items_prev_day,items_prev_week,items_prev_month,items_prev_season,total_growth_1d,total_growth_1w,total_growth_1m,total_growth_1s,quarter,day_of_year,week_of_year,week_sin,week_cos,year_sin,year_cos,avg_order_value,avg_items_per_order,days_to_next_shopping_holiday,next_shopping_holiday,pre_holiday_period
2022-12-24 00:00:00+02:00,13712.0,13532.0,46,9132.988571428572,36.285714285714285,2712.8565720008605,125.86666666666666,26569.121333333333,23399.8669208277,,,,5004.0,13863.96,25971.87,,13.0,39.0,141.0,,1.704236610711431,-0.02394409678042919,-0.47897475229931463,,4,358,51,-0.9749279121818236,-0.2225209339563146,-0.12020804489935275,0.9927487224577402,1691.5,5.75,,,0
2022-12-25 00:00:00+02:00,19180.0,18980.0,58,10353.70857142857,40.285714285714285,4636.718450339088,116.16666666666667,24971.755333333334,22154.19939986964,,,,13532.0,10434.96,66900.98,,46.0,30.0,349.0,,0.4026012415016258,0.8188857456089915,-0.7162971304755177,,4,359,51,-0.7818314824680299,0.6234898018587334,-0.10310169744743544,0.9946708199115211,1460.0,4.461538461538462,,,0
2022-12-26 00:00:00+02:00,29261.0,28371.0,108,13108.14,49.57142857142857,8153.858810232159,103.33333333333333,22626.28066666667,17259.593666253724,,,,18980.0,9089.98,98735.24,,58.0,43.0,493.0,,0.4947839831401475,2.1211289793816928,-0.7126557853102904,,4,360,52,0.0,1.0,-0.0859647987374467,0.9962981749346077,978.3103448275862,3.7241379310344827,,,0
2022-12-27 00:00:00+02:00,17887.0,17607.0,49,14393.425714285713,49.57142857142857,8034.874436394707,96.0,21411.615333333335,16223.211728329412,,,,28371.0,8610.0,54046.96,,108.0,49.0,269.0,,-0.3794015015332558,1.0449477351916374,-0.6742277456493391,,4,361,52,0.7818314824680298,0.6234898018587336,-0.06880242680232064,0.9976303053065857,1467.25,4.083333333333333,,,0
2022-12-28 00:00:00+02:00,14992.0,14162.0,42,15415.854285714286,52.57142857142857,7365.487597479826,88.53333333333333,20202.282000000003,15311.145861235991,,,,17607.0,7005.0,50442.0,,49.0,21.0,266.0,,-0.19566081672062252,1.0216987865810134,-0.7192419015899449,,4,362,52,0.9749279121818236,-0.22252093395631434,-0.05161966722325418,0.9986668162884759,745.3684210526316,2.210526315789474,,,0
2022-12-29 00:00:00+02:00,18933.0,18433.0,56,16584.14285714286,53.142857142857146,7052.383791517425,80.43333333333334,18873.682000000004,13516.183175082706,,,,14162.0,10254.98,58291.0,,42.0,52.0,299.0,,0.30158169750035313,0.7974681569344846,-0.6837762261755674,,4,363,52,0.43388373911755823,-0.900968867902419,-0.034421611622745804,0.9994074007397048,1084.2941176470588,3.2941176470588234,,,0
2022-12-30 00:00:00+02:00,19818.0,19258.0,65,18620.428571428572,60.57142857142857,4872.393144275355,69.33333333333333,17274.083333333332,9967.945116693607,,,,18433.0,5004.0,67245.96,,56.0,13.0,398.0,,0.044756686377692256,2.848521183053557,-0.7136184835490489,,4,364,52,-0.433883739117558,-0.9009688679024191,-0.01721335615583528,0.9998518392091162,1069.888888888889,3.611111111111111,,,0
2022-12-31 00:00:00+02:00,25173.98,24383.98,97,20170.71142857143,67.85714285714286,4707.158925464644,67.93333333333334,17025.45,9680.91134589699,,,,19258.0,13532.0,31842.98,,65.0,46.0,139.0,,0.26617405753453105,0.8019494531480933,-0.23424315186581157,,4,365,52,-0.9749279121818236,-0.2225209339563146,6.432490598706546e-16,1.0,1015.9991666666666,4.041666666666667,,,0
2023-01-01 00:00:00+02:00,37897.0,36997.0,114,22744.56857142857,75.85714285714286,7834.50785667154,64.4,16757.917666666668,8964.942769394669,,,,24383.98,18980.0,45022.97,,97.0,58.0,220.0,,0.5172666644247577,0.9492623814541623,-0.1782638950740033,,1,1,52,-0.7818314824680299,0.6234898018587334,0.017213356155834685,0.9998518392091162,1321.3214285714287,4.071428571428571,,,0
2023-01-02 00:00:00+02:00,27991.0,26911.0,85,22535.99714285714,72.57142857142857,7677.618837464579,58.86666666666667,16196.985000000002,7648.3123210137355,,,,36997.0,28371.0,43738.979999999996,,114.0,108.0,251.0,,-0.27261669865124194,-0.05146099890733491,-0.3847364524732858,,1,2,1,0.0,1.0,0.03442161162274574,0.9994074007397048,961.1071428571429,3.0357142857142856,,,0
